AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.0125,400
0,0,0,0,0,1,1,0.0,400
0,0,0,0,1,0,1,0.0,400
0,0,0,1,0,0,1,0.005,400
0,0,1,0,0,0,1,0.7425,400
0,1,0,0,0,0,1,0.005,400
1,0,0,0,0,0,1,0.01,400
0,0,0,0,1,1,2,0.0,400
0,0,0,1,0,1,2,0.0,400
0,0,0,1,1,0,2,0.0,400
0,0,1,0,0,1,2,0.0,400
0,0,1,0,1,0,2,0.0,400
0,0,1,1,0,0,2,0.3325,400
0,1,0,0,0,1,2,0.0,400
0,1,0,0,1,0,2,0.0,400
0,1,0,1,0,0,2,0.0025,400
0,1,1,0,0,0,2,0.36,400
1,0,0,0,0,1,2,0.0,400
1,0,0,0,1,0,2,0.0,400
1,0,0,1,0,0,2,0.005,400
1,0,1,0,0,0,2,0.645,400
1,1,0,0,0,0,2,0.005,400
0,0,0,1,1,1,3,0.0,400
0,0,1,0,1,1,3,0.0,400
0,0,1,1,0,1,3,0.0,400
0,0,1,1,1,0,3,0.0,400
0,1,0,0,1,1,3,0.0,400
0,1,0,1,0,1,3,0.0,400
0,1,0,1,1,0,3,0.0,400
0,1,1,0,0,1,3,0.0,400
0,1,1,0,1,0,3,0.0,400
0,1,1,1,0,0,3,0.0225,400
1,0,0,0,1,1,3,0.0,400
1,0,0,1,0,1,3,0.0,400
1,0,0,1,1,0,3,0.0,400
1,0,1,0,0,1,3,0.0,400
1,0,1,0,1,0,3,0.0,400
1,0,1,1,0,0,3,0.295,400
1,1,0,0,0,1,3,0.0,400
1,1,0,0,1,0,3,0.0,400
1,1,0,1,0,0,3,0.0025,400
1,1,1,0,0,0,3,0.31,400
0,0,1,1,1,1,4,0.0,400
0,1,0,1,1,1,4,0.0,400
0,1,1,0,1,1,4,0.0,400
0,1,1,1,0,1,4,0.0,400
0,1,1,1,1,0,4,0.0,400
1,0,0,1,1,1,4,0.0,400
1,0,1,0,1,1,4,0.0,400
1,0,1,1,0,1,4,0.0,400
1,0,1,1,1,0,4,0.0,400
1,1,0,0,1,1,4,0.0,400
1,1,0,1,0,1,4,0.0,400
1,1,0,1,1,0,4,0.0,400
1,1,1,0,0,1,4,0.0,400
1,1,1,0,1,0,4,0.0,400
1,1,1,1,0,0,4,0.0125,400
0,1,1,1,1,1,5,0.0,400
1,0,1,1,1,1,5,0.0,400
1,1,0,1,1,1,5,0.0,400
1,1,1,0,1,1,5,0.0,400
1,1,1,1,0,1,5,0.0,400
1,1,1,1,1,0,5,0.0,400
1,1,1,1,1,1,6,0.0,400
